DÍA DE LA SEMANA,HORA DEL DÍA,CONSUMO,SALIDA DE LA RED
1.000000,1.000000,0.410000,0.606656
1.000000,2.000000,0.363000,0.508243
1.000000,3.000000,0.342970,0.427335
1.000000,4.000000,0.329300,0.379780
1.000000,5.000000,0.329300,0.352843
1.000000,6.000000,0.368330,0.344176
1.000000,7.000000,0.457630,0.372640
1.000000,8.000000,0.554970,0.448296
1.000000,9.000000,0.596670,0.533532
1.000000,10.000000,0.718970,0.582321
1.000000,11.000000,0.774330,0.664657
1.000000,12.000000,0.788630,0.717887
1.000000,13.000000,0.791030,0.747193
1.000000,14.000000,0.743700,0.763590
1.000000,15.000000,0.718670,0.758741
1.000000,16.000000,0.736000,0.746749
1.000000,17.000000,0.764970,0.744163
1.000000,18.000000,0.791370,0.751938
1.000000,19.000000,0.833330,0.764489
1.000000,20.000000,0.811330,0.783232
1.000000,21.000000,0.785330,0.789821
1.000000,22.000000,0.666670,0.788261
1.000000,23.000000,0.663000,0.754816
1.000000,24.000000,0.602670,0.721145
2.000000,1.000000,0.534970,0.513861
2.000000,2.000000,0.479630,0.535355
2.000000,3.000000,0.454370,0.509608
2.000000,4.000000,0.451970,0.482303
2.000000,5.000000,0.447970,0.469723
2.000000,6.000000,0.463000,0.461878
2.000000,7.000000,0.523300,0.469740
2.000000,8.000000,0.591670,0.515477
2.000000,9.000000,0.672670,0.574222
2.000000,10.000000,0.730000,0.640498
2.000000,11.000000,0.778630,0.692807
2.000000,12.000000,0.787670,0.735364
2.000000,13.000000,0.778630,0.758903
2.000000,14.000000,0.718670,0.768538
2.000000,15.000000,0.693300,0.752708
2.000000,16.000000,0.721700,0.730263
2.000000,17.000000,0.751700,0.728514
2.000000,18.000000,0.789030,0.740763
2.000000,19.000000,0.825670,0.761319
2.000000,20.000000,0.810330,0.783293
2.000000,21.000000,0.784670,0.791183
2.000000,22.000000,0.736670,0.789286
2.000000,23.000000,0.569500,0.773247
2.000000,24.000000,0.566670,0.655751
3.000000,1.000000,0.554330,0.507498
3.000000,2.000000,0.489630,0.540414
3.000000,3.000000,0.463000,0.509569
3.000000,4.000000,0.458370,0.479120
3.000000,5.000000,0.453700,0.465249
3.000000,6.000000,0.471330,0.457269
3.000000,7.000000,0.534670,0.468813
3.000000,8.000000,0.600300,0.520461
3.000000,9.000000,0.691300,0.579239
3.000000,10.000000,0.743370,0.652389
3.000000,11.000000,0.788300,0.703776
3.000000,12.000000,0.799670,0.745145
3.000000,13.000000,0.786000,0.769327
3.000000,14.000000,0.733330,0.777547
3.000000,15.000000,0.707700,0.761872
3.000000,16.000000,0.724970,0.738619
3.000000,17.000000,0.734970,0.732643
3.000000,18.000000,0.778300,0.734745
3.000000,19.000000,0.821330,0.758247
3.000000,20.000000,0.792670,0.786742
3.000000,21.000000,0.804670,0.789533
3.000000,22.000000,0.668000,0.795583
3.000000,23.000000,0.619400,0.732032
3.000000,24.000000,0.569030,0.628457
