DÍA DE LA SEMANA,HORA DEL DÍA,CONSUMO,SALIDA DE LA RED
1.000000,1.000000,0.410000,0.600369
1.000000,2.000000,0.363000,0.563420
1.000000,3.000000,0.342970,0.519489
1.000000,4.000000,0.329300,0.474818
1.000000,5.000000,0.329300,0.431127
1.000000,6.000000,0.368330,0.393943
1.000000,7.000000,0.457630,0.380927
1.000000,8.000000,0.554970,0.413030
1.000000,9.000000,0.596670,0.477800
1.000000,10.000000,0.718970,0.532261
1.000000,11.000000,0.774330,0.608003
1.000000,12.000000,0.788630,0.662995
1.000000,13.000000,0.791030,0.696984
1.000000,14.000000,0.743700,0.718409
1.000000,15.000000,0.718670,0.724841
1.000000,16.000000,0.736000,0.725325
1.000000,17.000000,0.764970,0.728424
1.000000,18.000000,0.791370,0.735175
1.000000,19.000000,0.833330,0.743761
1.000000,20.000000,0.811330,0.755135
1.000000,21.000000,0.785330,0.761376
1.000000,22.000000,0.666670,0.763758
1.000000,23.000000,0.663000,0.753216
1.000000,24.000000,0.602670,0.742354
2.000000,1.000000,0.534970,0.586266
2.000000,2.000000,0.479630,0.589126
2.000000,3.000000,0.454370,0.577564
2.000000,4.000000,0.451970,0.560217
2.000000,5.000000,0.447970,0.543338
2.000000,6.000000,0.463000,0.526376
2.000000,7.000000,0.523300,0.515900
2.000000,8.000000,0.591670,0.527991
2.000000,9.000000,0.672670,0.560076
2.000000,10.000000,0.730000,0.607123
2.000000,11.000000,0.778630,0.651292
2.000000,12.000000,0.787670,0.688721
2.000000,13.000000,0.778630,0.713110
2.000000,14.000000,0.718670,0.727424
2.000000,15.000000,0.693300,0.727774
2.000000,16.000000,0.721700,0.723467
2.000000,17.000000,0.751700,0.724605
2.000000,18.000000,0.789030,0.730185
2.000000,19.000000,0.825670,0.739609
2.000000,20.000000,0.810330,0.751045
2.000000,21.000000,0.784670,0.757968
2.000000,22.000000,0.736670,0.760804
2.000000,23.000000,0.569500,0.758049
2.000000,24.000000,0.566670,0.735014
3.000000,1.000000,0.554330,0.517596
3.000000,2.000000,0.489630,0.543780
3.000000,3.000000,0.463000,0.544731
3.000000,4.000000,0.458370,0.536344
3.000000,5.000000,0.453700,0.526394
3.000000,6.000000,0.471330,0.514970
3.000000,7.000000,0.534670,0.510854
3.000000,8.000000,0.600300,0.531608
3.000000,9.000000,0.691300,0.569975
3.000000,10.000000,0.743370,0.624986
3.000000,11.000000,0.788300,0.670708
3.000000,12.000000,0.799670,0.707283
3.000000,13.000000,0.786000,0.731009
3.000000,14.000000,0.733330,0.743774
3.000000,15.000000,0.707700,0.743988
3.000000,16.000000,0.724970,0.739410
3.000000,17.000000,0.734970,0.738457
3.000000,18.000000,0.778300,0.739249
3.000000,19.000000,0.821330,0.746803
3.000000,20.000000,0.792670,0.758043
3.000000,21.000000,0.804670,0.762668
3.000000,22.000000,0.668000,0.767710
3.000000,23.000000,0.619400,0.755505
3.000000,24.000000,0.569030,0.734181
4.000000,1.000000,0.576630,0.474604
4.000000,2.000000,0.505300,0.518266
4.000000,3.000000,0.477330,0.525842
4.000000,4.000000,0.464370,0.521397
4.000000,5.000000,0.463430,0.512188
4.000000,6.000000,0.477000,0.503498
4.000000,7.000000,0.538000,0.501595
4.000000,8.000000,0.605670,0.527023
4.000000,9.000000,0.699630,0.572263
4.000000,10.000000,0.742000,0.635446
4.000000,11.000000,0.793670,0.682238
4.000000,12.000000,0.791370,0.721771
4.000000,13.000000,0.767370,0.743456
4.000000,14.000000,0.715300,0.752177
4.000000,15.000000,0.686030,0.747198
4.000000,16.000000,0.693630,0.735220
4.000000,17.000000,0.721700,0.726467
4.000000,18.000000,0.746000,0.728134
4.000000,19.000000,0.760670,0.736200
4.000000,20.000000,0.718000,0.744853
4.000000,21.000000,0.700670,0.739589
