DÍA DE LA SEMANA,HORA DEL DÍA,CONSUMO (1 ALTO -1 BAJO),SALIDA DE LA RED
1.000000,1.000000,-1.000000,0.938584
1.000000,2.000000,-1.000000,0.173384
1.000000,3.000000,-1.000000,-0.643165
1.000000,4.000000,-1.000000,-0.781426
1.000000,5.000000,-1.000000,-0.840795
1.000000,6.000000,-1.000000,-0.874347
1.000000,7.000000,-1.000000,-0.896042
1.000000,8.000000,1.000000,1.000000
1.000000,9.000000,1.000000,1.000000
1.000000,10.000000,1.000000,1.000000
1.000000,11.000000,1.000000,1.000000
1.000000,12.000000,1.000000,1.000000
1.000000,13.000000,1.000000,1.000000
1.000000,14.000000,1.000000,1.000000
1.000000,15.000000,1.000000,1.000000
1.000000,16.000000,1.000000,1.000000
1.000000,17.000000,1.000000,1.000000
1.000000,18.000000,1.000000,1.000000
1.000000,19.000000,1.000000,1.000000
1.000000,20.000000,1.000000,1.000000
1.000000,21.000000,1.000000,1.000000
1.000000,22.000000,1.000000,1.000000
1.000000,23.000000,1.000000,1.000000
1.000000,24.000000,1.000000,1.000000
2.000000,1.000000,1.000000,-0.911265
2.000000,2.000000,-1.000000,-0.005922
2.000000,3.000000,-1.000000,-0.664698
2.000000,4.000000,-1.000000,-0.789245
2.000000,5.000000,-1.000000,-0.844893
2.000000,6.000000,-1.000000,-0.876883
2.000000,7.000000,1.000000,-0.897771
2.000000,8.000000,1.000000,0.057544
2.000000,9.000000,1.000000,0.670457
2.000000,10.000000,1.000000,0.791415
2.000000,11.000000,1.000000,0.846046
2.000000,12.000000,1.000000,0.877602
2.000000,13.000000,1.000000,0.898264
2.000000,14.000000,1.000000,0.912881
2.000000,15.000000,1.000000,0.923784
2.000000,16.000000,1.000000,1.000000
2.000000,17.000000,1.000000,1.000000
2.000000,18.000000,1.000000,1.000000
2.000000,19.000000,1.000000,1.000000
2.000000,20.000000,1.000000,1.000000
2.000000,21.000000,1.000000,1.000000
2.000000,22.000000,1.000000,1.000000
2.000000,23.000000,1.000000,1.000000
2.000000,24.000000,1.000000,1.000000
3.000000,1.000000,1.000000,-0.987617
3.000000,2.000000,-1.000000,-0.262342
3.000000,3.000000,-1.000000,0.990552
3.000000,4.000000,-1.000000,0.794212
3.000000,5.000000,-1.000000,-0.338707
3.000000,6.000000,-1.000000,-0.707253
3.000000,7.000000,1.000000,-0.806125
3.000000,8.000000,1.000000,0.317655
3.000000,9.000000,1.000000,0.703862
3.000000,10.000000,1.000000,0.804706
3.000000,11.000000,1.000000,0.853271
3.000000,12.000000,1.000000,0.882164
3.000000,13.000000,1.000000,0.901414
3.000000,14.000000,1.000000,0.915190
3.000000,15.000000,1.000000,0.925551
3.000000,16.000000,1.000000,0.933634
3.000000,17.000000,1.000000,0.940120
3.000000,18.000000,1.000000,0.945441
3.000000,19.000000,1.000000,0.949888
3.000000,20.000000,1.000000,0.953659
3.000000,21.000000,1.000000,0.956900
3.000000,22.000000,1.000000,0.959714
3.000000,23.000000,1.000000,1.000000
3.000000,24.000000,1.000000,1.000000
4.000000,1.000000,1.000000,-0.971070
4.000000,2.000000,1.000000,0.156651
4.000000,3.000000,-1.000000,0.903512
4.000000,4.000000,-1.000000,-0.646665
4.000000,5.000000,-1.000000,-0.846374
4.000000,6.000000,-1.000000,-0.891801
4.000000,7.000000,1.000000,0.976269
4.000000,8.000000,1.000000,0.977143
4.000000,9.000000,1.000000,0.977955
4.000000,10.000000,1.000000,0.978711
4.000000,11.000000,1.000000,0.979417
4.000000,12.000000,1.000000,0.980077
4.000000,13.000000,1.000000,0.980696
4.000000,14.000000,1.000000,0.981277
4.000000,15.000000,1.000000,0.981825
4.000000,16.000000,1.000000,0.982341
4.000000,17.000000,1.000000,0.982829
4.000000,18.000000,1.000000,0.983290
4.000000,19.000000,1.000000,0.983728
4.000000,20.000000,1.000000,0.984143
4.000000,21.000000,1.000000,0.984537
4.000000,22.000000,1.000000,0.984912
4.000000,23.000000,1.000000,0.985269
4.000000,24.000000,1.000000,0.985610
5.000000,1.000000,1.000000,-0.905868
5.000000,2.000000,-1.000000,0.746491
5.000000,3.000000,-1.000000,-0.853655
5.000000,4.000000,-1.000000,-0.895178
5.000000,5.000000,-1.000000,-0.917403
5.000000,6.000000,-1.000000,-0.931529
5.000000,7.000000,-1.000000,-0.941386
5.000000,8.000000,-1.000000,-0.948687
